prioridad,sede,sector,tipo_anomalia,cantidad_eventos,desperdicio_detectado_kwh,ahorro_potencial_kwh,ahorro_mensual_cop,problema,causa_probable,acciones_recomendadas,responsable,dificultad_implementacion,eventos_criticos,prioridad_final
36,Sogamoso,laboratorios,consumo_pico_excesivo,240,251.3,100.52,7036,Se detectaron 240 eventos de consumo excesivo en horario pico en laboratorios de Sogamoso.,Uso simultáneo de múltiples equipos de alto consumo.,"1. Escalonar uso de equipos de alto consumo
2. Programar experimentos intensivos en horario valle
3. Optimizar ocupación de laboratorios
4. Identificar equipos con mayor demanda",Coordinador de Laboratorios,ALTA,14,1
37,Sogamoso,oficinas,consumo_fin_semana_alto,351,64.22,51.38,3596,Se detectaron 351 eventos de consumo en oficinas durante fines de semana en Sogamoso.,Equipos de oficina sin apagar.,"1. Apagado de servidores no críticos
2. Desconexión de equipos periféricos
3. Sistema de alarma vinculado a consumo eléctrico
4. Lista de equipos autorizados fin de semana",Jefe de Área Administrativa,MEDIA,82,2
21,Duitama,oficinas,consumo_fin_semana_alto,344,61.67,49.34,3453,Se detectaron 344 eventos de consumo en oficinas durante fines de semana en Duitama.,Equipos de oficina sin apagar.,"1. Apagado de servidores no críticos
2. Desconexión de equipos periféricos
3. Sistema de alarma vinculado a consumo eléctrico
4. Lista de equipos autorizados fin de semana",Jefe de Área Administrativa,MEDIA,62,3
24,Duitama,oficinas,consumo_pico_excesivo,301,205.02,82.01,5740,Se detectaron 301 eventos de consumo excesivo en horario pico en oficinas de Duitama.,Equipos de oficina y climatización operando simultáneamente.,"1. Configurar modo ahorro de energía en computadores
2. Optimizar temperatura de aires acondicionados
3. Apagar impresoras cuando no se usen
4. Cerrar ventanas cuando AC está encendido",Jefe de Área Administrativa,ALTA,34,4
40,Sogamoso,oficinas,consumo_pico_excesivo,304,203.8,81.52,5706,Se detectaron 304 eventos de consumo excesivo en horario pico en oficinas de Sogamoso.,Equipos de oficina y climatización operando simultáneamente.,"1. Configurar modo ahorro de energía en computadores
2. Optimizar temperatura de aires acondicionados
3. Apagar impresoras cuando no se usen
4. Cerrar ventanas cuando AC está encendido",Jefe de Área Administrativa,ALTA,46,5
34,Sogamoso,laboratorios,consumo_fuera_patron,137,117.41,76.32,5342,Se detectaron 137 eventos de consumo atípico en laboratorios de Sogamoso.,Uso irregular o eventos especiales no programados.,"1. Implementar sistema de registro de uso de laboratorios
2. Analizar eventos atípicos caso por caso
3. Protocolo de autorización para uso fuera de horario
4. Monitoreo de consumo en tiempo real",Coordinador de Laboratorios,ALTA,14,6
48,Tunja,laboratorios,consumo_fuera_patron,300,111.09,72.21,5054,Se detectaron 300 eventos de consumo atípico en laboratorios de Tunja.,Uso irregular o eventos especiales no programados.,"1. Implementar sistema de registro de uso de laboratorios
2. Analizar eventos atípicos caso por caso
3. Protocolo de autorización para uso fuera de horario
4. Monitoreo de consumo en tiempo real",Coordinador de Laboratorios,ALTA,47,7
38,Sogamoso,oficinas,consumo_fuera_patron,374,109.4,71.11,4977,Se detectaron 374 eventos de consumo atípico en oficinas de Sogamoso.,Trabajo fuera de horario o reuniones no programadas.,"1. Habilitar áreas específicas para trabajo fuera de horario
2. Desactivar climatización en áreas no ocupadas
3. Sistema de registro de permanencia
4. Iluminación localizada en vez de general",Jefe de Área Administrativa,ALTA,89,8
50,Tunja,laboratorios,consumo_pico_excesivo,373,173.09,69.24,4846,Se detectaron 373 eventos de consumo excesivo en horario pico en laboratorios de Tunja.,Uso simultáneo de múltiples equipos de alto consumo.,"1. Escalonar uso de equipos de alto consumo
2. Programar experimentos intensivos en horario valle
3. Optimizar ocupación de laboratorios
4. Identificar equipos con mayor demanda",Coordinador de Laboratorios,ALTA,28,9
17,Duitama,laboratorios,consumo_fin_semana_alto,99,85.94,68.75,4812,Se detectaron 99 eventos de consumo elevado en fines de semana en laboratorios de Duitama.,Equipos operando sin actividades programadas o personal presente.,"1. Protocolo de cierre de laboratorios los fines de semana
2. Lista de equipos autorizados para operar 24/7
3. Sistema de solicitud para uso de laboratorios en fin de semana
4. Inspección al cierre del viernes",Coordinador de Laboratorios,ALTA,13,10
26,Duitama,salones,consumo_fuera_patron,269,99.96,64.97,4548,Se detectaron 269 eventos de consumo atípico en salones de Duitama.,"Eventos académicos, conferencias o actividades extracurriculares.","1. Centralizar eventos en salones específicos
2. Programar eventos consecutivos en mismo lugar
3. Apagar equipos inmediatamente al finalizar
4. Capacitar organizadores sobre uso eficiente",Coordinación Académica,ALTA,110,11
22,Duitama,oficinas,consumo_fuera_patron,340,99.17,64.46,4512,Se detectaron 340 eventos de consumo atípico en oficinas de Duitama.,Trabajo fuera de horario o reuniones no programadas.,"1. Habilitar áreas específicas para trabajo fuera de horario
2. Desactivar climatización en áreas no ocupadas
3. Sistema de registro de permanencia
4. Iluminación localizada en vez de general",Jefe de Área Administrativa,ALTA,69,12
28,Duitama,salones,consumo_pico_excesivo,195,156.03,62.41,4368,Se detectaron 195 eventos de consumo excesivo en horario pico en salones de Duitama.,Uso intensivo de iluminación y climatización.,"1. Optimizar temperatura de aires acondicionados (24-25°C)
2. Aprovechar iluminación natural
3. Apagar equipos en salones vacíos entre clases
4. Sensores de ocupación",Servicios Generales,ALTA,26,13
54,Tunja,oficinas,consumo_pico_excesivo,376,151.13,60.45,4231,Se detectaron 376 eventos de consumo excesivo en horario pico en oficinas de Tunja.,Equipos de oficina y climatización operando simultáneamente.,"1. Configurar modo ahorro de energía en computadores
2. Optimizar temperatura de aires acondicionados
3. Apagar impresoras cuando no se usen
4. Cerrar ventanas cuando AC está encendido",Jefe de Área Administrativa,ALTA,73,14
